PV_1	L0000
SV_1	L0004
VAL_SET	L0008
LAYER1	wf000
LAYER2	wf002
LAYER3	wf004
YEAR	bf020
MONTH	bf021
DAY	bf022
WEEK	bf023
HOUR	bf024
MINUTE	bf025
SECOND	bf026
SYSCOUNT	lf030
COM_TIMER	lf040
BLINK_FREQ	wf054
BLINKER	bf056
BACKLIGHTSETTING	wf060
BRIGHTNESS	bf062
CALIBRATION	wf070
MODEL	bf076
MAJOR	bf077
MINOR	bf078
REVISION	bf079
BUTTON_LOCK_TIMER	wf07e
BACKLIGHT_STA	bf085
COM_FLUSH	bf08c
BEEP	wf090
BEEPLONG	wf092
BEEPINTERVAL	wf094
ACT_GESTURE	bf096
NV_PARAM1	Lf0a0
NV_PARAM2	Lf0a4
TOUCH_DISTANCE	Wf0c4
TOUCH_ANGLE	Wf0c6
TOUCH_DISTANCE_A	Wf0c8
TOUCH_ANGLE_A	Wf0cc
TOUCH_NUM	bf0ce
MENTE_SAVE	bf0fc
DEBUG_MONITOR	bf292
UPDATE_INTERVAL	wf3ee
REMOTE_ACTION	lffe0
COM_TIMEOUT_PAGE	wfffe
LANGUAGE	bffff
